Hotel_Description,Hotel_Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude,Hotel_Type
Guest Houses,GOLDEN HOLIDAY GUEST HOUSE,"NO.17/19 C,PONNAMPALAM 4TH LANE,JAFFNA.",6,B,Jaffna,Jaffna,Jaffna Divisional Secretariat,NULL,NULL,Luxury
Guest Houses,PEARL RICH HOTEL & BANQUET HALL,"NO.727,COLOMBO ROAD,KADUGANNAWA",5,B,Kandy,Yatinuwara Pradeshiya Sabha,Yatinuwara Divisional Secretariat,80.535768,7.261431,Luxruy
Guest Houses,TRINCO BEACH HOTEL,"328, DYKE STREET, TRINCOMALEE",10,A,Trincomalee,Trincomalee,Trincomalee Divisional Secretariat,81.238617,8.567845,Comfort
Guest Houses,RG'S DAWN AND DUSK,"NO.35,37,JAYA ROAD,COLOMBO 04",9,A,Colombo,Colombo,Colombo Divisional Secretariat,79.854959,6.886227,Comfort
Guest Houses,SERENE KINGS VILLA,"NO.17,UDAPUSSELLA ROAD,NUWARAELIYA.",9,A,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.771035,6.966501,Budget
Guest Houses,FLOWER GARDEN LAKE RESORT,"NO.168,RANDUNUWATTA,WEERAWILA.",9,B,Hambantota,Thissamaharama,Thissamaharama Divisional Secretariat,NULL,NULL,Budget
Guest Houses,ROYAL GREEN GARDEN HOTEL,"NANDAWANA WALAWWA,KURUNEGALA ROAD,PUTTALAM.",10,B,Puttalam,Puttalam Pradeshiya Sabha,Puttalam Divisional Secretariat,NULL,NULL,Luxury
Guest Houses,SENRICH HOTEL,"NO.46/4C,KALUKODAYAWA,DOMPE ROAD,MALWANA",17,A,Gampaha,Gampaha,Gampaha Divisional Secretariat,NULL,NULL,Luxury
Guest Houses,HOTEL RAHAS ELLA,"NO.27/8,PANWILA ROAD,WATTEGAMA",5,A,Kandy,Kandy,Pathadumbara Divisional Secretariat,NULL,NULL,Comfort
Guest Houses,HOTEL RITAS AND BEACH RESTURANT,"GALLE ROAD,NARIGAMA,HIKKADUWA",25,A,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,NULL,NULL,Comfort
Guest Houses,SARAII,"RANDUNU KELLE WATTE,WEERAWILA,HAMBANTOTA.",14,B,Hambantota,Thissamaharama,Thissamaharama Divisional Secretariat,81.228932,6.267036,Budget
Guest Houses,ZYLAN LUXURY VILLA.,"NO.115,ROSMEAD PLACE,COLOMBO 07.",8,A,Colombo,Colombo,Colombo Divisional Secretariat,79.874004,6.914302,Budget
Guest Houses,THE NATURE TRAILS.,"NO.144 B,MATARA ROAD,UNAWATUNA.",7,A,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.248002,6.018463,Luxury
Guest Houses,SKY PAVILION,"NO:102/123,HEVAHETA ROAD,KANDY",5,A,Kandy,Kandy,Kandy Divisional Secretariat,80.654608,7.289745,Luxruy
Guest Houses,MANEL GUEST HOUSE,"MANEL GUEST HOUSE,NEW TOWN ROAD,POLONNARUWA.",8,B,Polonnaruwa,Thamankaduwa Pradeshiya Sabha,Thamankaduwa Divisional Secretariat,NULL,NULL,Comfort
Guest Houses,GREEN REST,"NO.136A,MEGODA ,THAMMITA,MAKEVITA.",14,C,Gampaha,Gampaha,Gampaha Divisional Secretariat,NULL,NULL,Comfort
Guest Houses,MOSVOLD VILLA,"38,WALHENGODA,AHANGAMA",8,A,Galle,Galle,Galle Divisional Secretariat,80.35341,5.976347,Budget
