Name,Address,District,AGA Division,PS/MC/UC,,,,
GULLIVERS TRAVELS (PRIVATE) LIMITED,"NO.48, LEVEL 06, PARKWAY, PARK STREET, COLOMBO 2",Colombo,Colombo,Colombo Divisional Secretariat,,,,
SELCO GLOBAL HOLIDAYS,"NO.31, 1ST CHAPPEL LANE, COLOMBO 6",Colombo,Colombo,Colombo Divisional Secretariat,,,,
HERITAGE HOLIDAY LANKA (PVT) LTD,"NO.63/1B, KANDY ROAD, KIRIBATHGODA",Gampaha,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat,,,,
V V K TOURS & TRAVELS (PVT) LTD,"NO.66/1, KANDY ROAD, DALUGAMA, KELANIYA",Colombo,Kolonna Pradeshiya Sabha,Kolonnawa Divisional Secretariat,,,,
LECS TRAVELS (PVT) LTD,"2ND FLOOR, AUTO MOBILE ASSOCIATION BUILDING, NO.40, SIR MOHOMED MAKAN MAKER MW., COLOMBO 3",Colombo,Colombo,Colombo Divisional Secretariat,,,,
THE BOTTOM LINE HOLIDAYS (PVT) LIMITED,"SUNCITY, NO.18-2/2, ST.ANTHONYS MAWATHA, COLOMBO 3.",Colombo,Colombo,Colombo Divisional Secretariat,,,,
AIRPORT TRAVELS (PVT) LTD,"NO.21, DEAL PLACE, COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
A J TRAVEL,"110, NEW GALLE ROAD, MORATUWA",Colombo,Moratuwa,Moratuwa Divisional Secretariat,,,,
AL-AQSA GLOBAL (PVT)LTD,"NO. 86 A 1/1, WATARAPPALA ROAD, MOUNT LAVINIA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
ASIAN WINGS (PVT) LTD,"NO.64, W.A.D. RAMANAYAKE MAWATHA, COLOMBO 2",Colombo,Colombo,Colombo Divisional Secretariat,,,,
WAYFARERS (PVT) LTD,"NO.6, BOYD PLACE, COLOMBO 3",Colombo,Colombo,Colombo Divisional Secretariat,,,,
EURO ASIA TRAVELS (PVT) LTD,"NO.51/2, ANANDA COOMARASWAMY MAWATHA, COLOMBO 07",Colombo,Colombo,Colombo Divisional Secretariat,,,,
AKQUASUN LANKA (PVT) LIMITED,"L12, EAST TOWER, WORLD TRADE CENTER, COLOMBO 01",Colombo,Colombo,Colombo Divisional Secretariat,,,,
HELANKA VACATIONS (PTE) LTD,"LEVEL 06, ACCESS TOWERS, NO.278, UNION PLACE, COLOMBO 02",Colombo,Colombo,Colombo Divisional Secretariat,,,,
MULTHAZAM ENTERPRISES & TRAVELS,"NO.262K, MAIN STREET, SAINTHAMARUTHU- 07",Ampara,Kalmunai,Kalmunai Divisional Secretariat,,,,
